address,timeframe,trade_count,wins,losses,wins_usd,losses_usd,volume,profit,win_rate,in_tier,resolved_trades
0x03c3b0236c5a01051381482e77f2210349073a1d,15min,4600,2735,1865,32558.09,7924.94,32205.47,24633.15,0.5946,0,4600
0x03c3b0236c5a01051381482e77f2210349073a1d,hourly,34,9,25,45.0,75.29,102.24,-30.29,0.2647,0,34
0x03caec78558a232062655723581c29b2a6c522e5,15min,391,172,219,1207.53,724.59,2534.84,482.95,0.4399,0,391
0x03cc434d9c36d2b3cdb371617beadfb51ed2ac55,15min,43,14,29,685.37,203.71,1237.3,481.66,0.3256,0,43
0x03cde02174c7b5e753e04c2956e46542e0a15a7c,15min,13,4,9,325.75,15.95,358.57,309.8,0.3077,0,13
0x03ce1e71a98d0926a25ada512ff7e2c19ae5fa72,15min,115,43,72,758.59,1183.61,4339.83,-425.02,0.3739,0,115
0x03d2a2072ca1967f29b5b64c7f0cc4ba1c22e29d,daily,13,8,4,27.78,7.79,40.12,19.99,0.6667,1,12
0x03d52e31c083ebdd0676f4ee63a83a2f33e67dc2,15min,46,24,22,285.93,85.23,256.69,200.7,0.5217,0,46
0x03d9b4b83a569f7428e002215949aacf1385e693,daily,14,14,0,509.06,0.0,509.06,509.06,1.0,1,14
0x03de51d4975e8f8da4e80d42f7bbe84bf419f987,15min,23,10,13,34.06,26.22,50.33,7.83,0.4348,0,23
0x03dffc2ae38a806925d665cb8dbbc66b6fe11299,daily,24,16,8,362.93,432.77,581.3,-69.84,0.6667,1,24
0x03e5633edab25b50c829c35dbe615f4f53a8ecd6,monthly,13,0,0,0.0,0.0,194.01,0.0,0.0,0,0
0x03e7a046df6e752aa5dc653e233fd7bcb6c70de3,15min,833,376,457,4069.07,2269.76,4636.43,1799.3,0.4514,0,833
0x03e8a544e97eeff5753bc1e90d46e5ef22af1697,daily,15,10,0,5989.58,0.0,3403.58,5989.58,1.0,1,10
0x03eba4cf5af30b1814b26f3c590782f9390a7012,hourly,42,12,30,64.58,21.65,196.9,42.94,0.2857,0,42
0x0402d25fff726f872ce7b6979ab6f3e0508b44ed,15min,38,16,22,204.78,84.66,637.42,120.12,0.4211,0,38
0x040d45ad30d6eb0fdd75c270c820f6a1c488ddf7,15min,229,146,83,2910.45,626.88,17346.09,2283.57,0.6376,0,229
0x041569ae93bdfd177a76a0710da3341b710db565,15min,22,5,17,17.46,15.51,62.5,1.95,0.2273,0,22
0x0428776f3b242be5f8b47e052042e885c779f13f,daily,10,2,8,6.5,4.52,15.64,1.98,0.2,0,10
0x043101f85e46b7cf0f3a5acad851b8dcb0898db3,15min,34,16,18,124.46,56.62,256.11,67.84,0.4706,0,34
0x044736c05d04d998ce20473a04ced1f64684d546,15min,22,18,4,227.62,27.0,216.81,200.62,0.8182,1,22
0x044955dbdc13e80d613ce7a6bf44fef9887c1fca,15min,11,1,10,2.2,14.97,53.28,-12.77,0.0909,0,11
0x044ca28f2d8db1feaa503d35348bb7b8eccd5c09,hourly,43,20,23,55.99,40.56,117.17,15.43,0.4651,0,43
0x044e4dc1c38741eab3174b16996cc302a49ba015,15min,21,7,14,228.84,60.16,320.3,168.68,0.3333,0,21
0x04583636d5ac8f7efa021b72a241cadbbe74bd15,hourly,12,8,4,141.02,49.08,150.21,91.94,0.6667,0,12
0x0460c3e409e2f1aafeb60842bbfac121166561e5,15min,24,20,4,344.28,26.4,398.53,317.88,0.8333,1,24
0x046544a7c6f5922a98807ac43df97c92bd3f0032,15min,36,14,22,150.74,80.71,454.51,70.04,0.3889,0,36
0x046c97f59f7067cd328467128c7a481742cd2a9c,daily,14,0,14,0.0,67.86,5136.79,-67.86,0.0,0,14
0x0472d50274b06af0605ae24d38a4d725f10dc841,hourly,50,18,32,284.82,176.56,326.94,108.27,0.36,0,50
0x04798a3a1eca3ec4ddc2ebb1b01dedca1237f2dd,daily,30,1,17,14.0,38.12,1891.95,-24.12,0.0556,0,18
0x04847b0925c5a537c001185c50a6ea2ac1919321,15min,1382,686,696,14693.93,7467.12,26827.31,7226.81,0.4964,0,1382
0x04849ea1c5dca8f6cae51a163734e5bec43cbe3f,15min,36,12,24,127.33,108.17,177.77,19.16,0.3333,0,36
0x04881113652b790ffc4d2c645fecffae477e990e,15min,13,7,6,50.63,7.86,119.69,42.76,0.5385,0,13
0x048d78cfb8fbdc209c0e9529b525bc150a3668da,15min,8815,4323,4492,50632.18,41462.63,112753.12,9169.54,0.4904,0,8815
0x04a22682f93f12900d056508664d233e8972291b,daily,11,5,6,31.44,24.47,64.47,6.97,0.4545,0,11
0x04a3b1a357c78bb1ad9f2a0debc1798dd54e3186,15min,14,5,9,30.33,58.43,66.49,-28.11,0.3571,0,14
0x04a6bb8c9800028017a37c3b333afab4ead8842d,15min,80,29,51,634.35,98.91,1544.43,535.44,0.3625,0,80
0x04a6bb8c9800028017a37c3b333afab4ead8842d,hourly,22,5,17,29.63,1.65,377.83,27.98,0.2273,0,22
0x04ac8eef47d927e45d016571832a04e247d7f9d5,15min,20,8,12,48.9,20.83,62.36,28.07,0.4,0,20
0x04b0915f2edb018644b28dc0d3e21ca2089a000d,monthly,35,31,1,715.65,109.07,1033.58,606.58,0.9688,1,32
0x04b126e4df74fe5e67dc43db422c5574023c8554,15min,31,22,9,36.34,10.5,36.26,25.84,0.7097,1,31
0x04b1e3aff4fed7a6868757761db7486ddb6cd224,daily,20,11,9,1879.99,1199.9,3259.67,680.09,0.55,0,20
0x04b4f55bea2478a02af3fb239cb7fca50f4a8d0b,daily,43,5,38,51.89,235.97,270.32,-184.08,0.1163,0,43
0x04b4f55bea2478a02af3fb239cb7fca50f4a8d0b,monthly,21,0,0,0.0,0.0,138.98,0.0,0.0,0,0
0x04b5602b4bdeb99d100913ecd200151647b6b229,15min,42,16,26,173.7,97.75,574.72,75.95,0.381,0,42
0x04bd900b9ef8a809e39b10a6207950a3f65a39a0,daily,32,22,10,4013.82,2665.44,4409.52,1348.38,0.6875,1,32
0x04bff3dd4918326b4f986b8cf5c457e638a224b2,15min,32,30,2,1410.16,12.43,1384.8,1397.73,0.9375,1,32
0x04dbe94fc549e2bfff09aec1cd9d02960adaf0fd,monthly,85,27,1,12.57,6.69,27.36,5.88,0.9643,1,28
0x04e507a94f54ed1747ca486bcb34b3f70a6cf780,15min,15,7,8,133.2,113.39,445.21,19.81,0.4667,0,15
0x04eb25c38137da83f196ae449a49f8d9ba8777e4,15min,56,14,42,189.34,359.34,1016.97,-170.0,0.25,0,56
0x04f1f22f0e20586b0efe4ffa368e67dce38338d6,hourly,27,11,16,30.23,29.92,61.99,0.31,0.4074,0,27
0x04f6ec011120ffd7a9e4f2f14452f795e590186e,15min,289,109,180,2935.48,2710.62,4932.97,224.86,0.3772,0,289
0x04fd648f7f80cd12c71479cda230cc0eb2d7d5ff,15min,27,23,4,482.94,39.1,514.74,443.84,0.8519,1,27
0x0507dfe08c440a20d2646c6f8de4661169183e1d,15min,78,77,1,114.59,22.99,114.04,91.6,0.9872,1,78
0x0507dfe08c440a20d2646c6f8de4661169183e1d,daily,24,22,2,30.55,23.78,32.69,6.77,0.9167,1,24
0x0507dfe08c440a20d2646c6f8de4661169183e1d,hourly,206,178,28,381.36,179.95,407.55,201.41,0.8641,1,206
0x050a3ce0c8c731fe8a91386eda4b65869911ae80,15min,62,44,18,1026.36,170.07,3490.62,856.29,0.7097,1,62
