address,total_net_pnl_usd,num_tokens,win_tokens,loss_tokens,win_rate,best_timeframe,tf_win_rate
0x447e8bc048e875058e5e1fa2e8bcca0119ce9710,"+7,379.85",4,3,1,0.75,daily,0.79
0x69f6641f414ec6751d7dae105717c54a1d6c30a9,"+7,362.00",2,2,0,1.00,-,-
0xba34713bc6ed18768e17e557bc989e2efd901a8b,"+7,315.00",3,2,1,0.67,-,-
0x309fc484750bd229b29d996f8c8cd482ad559282,"+7,233.67",1,1,0,1.00,daily,0.68
0xe2ae0e528e2536f52bc4df136197983aa4975b78,"+7,215.00",2,2,0,1.00,-,-
0x4b31c844742b1e7450e3c3cd07cb4090ae322064,"+7,162.82",13,5,8,0.38,daily,0.58
0x0ead7a48afa30eba6413b8d5717569e514019572,"+7,116.57",1,1,0,1.00,-,-
0x05adfd316f245e0b24b521abc4112626aea5d7c8,"+7,028.96",2,2,0,1.00,-,-
0xff12ffde498c958dc037def603dcbcc0052f09f9,"+7,024.82",1,1,0,1.00,daily,0.46
0x7bdee20a2b5c0f9652c36ebf818583003ef86eb3,"+6,900.00",4,4,0,1.00,-,-
0xf1d416c22158ec696872477d3584415bdfc538d6,"+6,886.05",8,7,1,0.88,daily,0.63
0xfbf3d501e88815464642d0e913f15379c3eeb218,"+6,879.02",3,2,1,0.67,daily,0.43
0xfc25f141ed27bb1787338d2c4e7f51e3a15e1f7f,"+6,794.98",3,1,2,0.33,daily,0.05
0xa1f39b9b21a7bfb0f540cf106b92e240c7b7d99c,"+6,791.10",2,2,0,1.00,-,-
0xa0aeae12d7494b2f9a9fb4748b147c67bcd44ac8,"+6,734.69",1,1,0,1.00,-,-
0x5f6aedef4812ce1ca8773949bdfdb00b480faba2,"+6,646.47",42,37,5,0.88,15min,0.47
0xd7eee5e918dc59fa32386a4ad8a89655946e9597,"+6,554.92",1,1,0,1.00,daily,0.50
0x70f6ab2af8d1c0b0ade0f5bad525de8f372102df,"+6,550.00",6,4,2,0.67,-,-
0xac3558f86d6fee7bdf55e8dad5c3467d742002d7,"+6,542.50",2,2,0,1.00,-,-
0x1ff26f9f8a048d4f6fb2e4283f32f6ca64d2dbbd,"+6,522.33",3,2,1,0.67,daily,0.15
0xcd3675803ac7c8242a83fd6ecdfe3d2239ae0f01,"+6,482.89",13,13,0,1.00,daily,0.97
0xb69efa5eabd3b1919615c7678a45688362e712f5,"+6,464.75",1,1,0,1.00,-,-
0x84af1cc64b4bc3cef2b1c705179dce560d651530,"+6,400.00",4,3,1,0.75,-,-
0x70c52fd5c4bdedeb647ba4d4019583c23eba66b6,"+6,400.00",3,3,0,1.00,-,-
0x11981fc3c244bca1f4a74e2e012dcc6adbb3825c,"+6,343.06",4,4,0,1.00,15min,1.00
0x2cad53bb58c266ea91eea0d7ca54303a10bceb66,"+6,328.38",10,6,4,0.60,daily,0.44
0x0b9cae2b0dfe7a71c413e0604eaac1c352f87e44,"+6,267.43",2,2,0,1.00,daily,1.00
0xbc37414580f0fd76082d68e03a5265db2f662f65,"+6,260.28",7,3,4,0.43,daily,0.19
0x2615e0c5096bd078b2630320615be4ecede2c16d,"+6,258.68",4,2,2,0.50,daily,0.74
0xf495abf32d921095adfeb39e21fd055b254765b3,"+6,257.50",5,4,1,0.80,-,-
0x328c15cb01fad2a83e9967655c4a60fbb7ae46c8,"+6,247.36",2,2,0,1.00,15min,1.00
0x9e5c74c0bf46f0bf3fcd1064d17e6201c67fd8e6,"+6,243.23",2,2,0,1.00,daily,0.99
0xb548b896c743baed7502077a819f4e6afea108f3,"+6,237.86",160,81,79,0.51,hourly,0.46
0x08052d80ffe580e132fa94d66619f80aff2b31c0,"+6,223.61",1,1,0,1.00,-,-
0xe3797f6e5385cc4a426afa0ef01212bb275a6be1,"+6,214.50",2,2,0,1.00,-,-
0x88f064062f2d11e11dadbefadf2c0353ce193286,"+6,110.06",2,2,0,1.00,-,-
0x1395686c87aa1e12498cb6bdb23702a82db4551d,"+6,105.00",2,2,0,1.00,-,-
0x77feb48af85755ccc8904a0eef8d5bfc2884551d,"+6,098.11",1,1,0,1.00,-,-
0x56db4e9073b3f0357da687645235426deccd171c,"+6,042.01",10,6,4,0.60,15min,0.29
0x03e8a544e97eeff5753bc1e90d46e5ef22af1697,"+5,989.58",1,1,0,1.00,daily,1.00
0xcc862782b0bcde496f67930a704672dd437de72c,"+5,986.50",2,2,0,1.00,-,-
0x585fddad209a0072abcc3d4459c1bf975d8c6d8a,"+5,955.00",2,2,0,1.00,-,-
0x7ac70e470049650997a2ba801adcbdc054bde0ef,"+5,953.38",1,1,0,1.00,-,-
0xaab2bc5f836f8b36e90dcf093b1d2e81be9d3556,"+5,947.50",2,2,0,1.00,-,-
0x3e0e8ebc1466c875bf306878264624c5480a2d99,"+5,912.02",11,10,1,0.91,hourly,0.52
0xbd0923420f3bbe8580237cd8fadb25a46cd2a188,"+5,901.67",1,1,0,1.00,daily,0.51
0x768b60ce0466e71566839fff0e158d8cea9c3ef9,"+5,899.50",2,2,0,1.00,-,-
0x7b8e3d0bc4a82419645533b18117861316069086,"+5,844.50",4,4,0,1.00,-,-
0x987069e3ba77f73bc43fcad0dd43fa3eced7b9d3,"+5,788.49",2,2,0,1.00,-,-
0x0e432ec06ce36cb0acffc52b36138ff578bdfa38,"+5,737.59",40,26,14,0.65,15min,0.62
0xcdb1f1ef8213c06911e4ba6a884176c5571e276c,"+5,717.86",1,1,0,1.00,monthly,0.27
0x4cee79d1e52009cdfd80483818802fdb368358b2,"+5,700.00",2,2,0,1.00,-,-
